Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2018-01-29,11130.40,11079.35,0.55,27.71,3.76,1.02
2018-01-25,11069.65,11095.60,-0.15,27.61,3.74,1.02
2018-01-24,11086.00,11069.35,0.02,27.66,3.74,1.02
2018-01-23,11083.70,10997.40,1.07,27.81,3.74,1.02
2018-01-22,10966.20,10883.20,0.66,27.62,3.70,1.03
2018-01-19,10894.70,10829.20,0.72,27.44,3.68,1.04
2018-01-18,10817.00,10873.40,0.26,27.25,3.65,1.05
2018-01-17,10788.55,10702.45,0.82,27.18,3.64,1.05
2018-01-16,10700.45,10761.50,-0.38,26.96,3.61,1.06
2018-01-15,10741.55,10718.50,0.56,27.06,3.62,1.06
2018-01-12,10681.25,10682.55,0.28,27.28,3.60,1.06
2018-01-11,10651.20,10637.05,0.18,27.23,3.59,1.06
2018-01-10,10632.20,10652.05,-0.05,27.18,3.58,1.07
2018-01-09,10637.00,10645.10,0.13,27.19,3.58,1.07
2018-01-08,10623.60,10591.70,0.61,27.16,3.58,1.07
2018-01-05,10558.85,10534.25,0.51,26.99,3.55,1.07
2018-01-04,10504.80,10469.40,0.59,26.86,3.54,1.08
2018-01-03,10443.20,10482.65,0.01,26.70,3.52,1.09
2018-01-02,10442.20,10477.55,0.06,26.70,3.52,1.09
2018-01-01,10435.55,10531.70,-0.90,26.68,3.51,1.09
2017-12-29,10530.70,10492.35,0.50,26.92,3.55,1.08
2017-12-28,10477.90,10498.20,-0.12,26.82,3.53,1.08
2017-12-27,10490.75,10531.05,-0.39,26.85,3.54,1.08
2017-12-26,10531.50,10512.30,0.37,26.96,3.55,1.08
2017-12-22,10493.00,10457.30,0.50,26.86,3.54,1.08
2017-12-21,10440.30,10473.95,-0.04,26.74,3.52,1.09
2017-12-20,10444.20,10494.40,-0.18,26.75,3.52,1.09
2017-12-19,10463.20,10414.80,0.72,26.79,3.53,1.09
2017-12-18,10388.75,10263.10,0.54,26.60,3.50,1.09
2017-12-15,10333.25,10345.65,0.79,26.46,3.48,1.1
2017-12-14,10252.10,10229.30,0.58,26.25,3.46,1.11
2017-12-13,10192.95,10236.60,-0.46,26.10,3.44,1.11
2017-12-12,10240.15,10324.90,-0.80,26.22,3.45,1.11
2017-12-11,10322.25,10310.50,0.55,26.43,3.48,1.1
2017-12-08,10265.65,10198.45,0.97,26.26,3.46,1.11
2017-12-07,10166.70,10063.45,1.22,26.01,3.43,1.12
2017-12-06,10044.10,10088.80,-0.73,25.70,3.39,1.13
2017-12-05,10118.25,10118.25,-0.09,25.89,3.41,1.12
2017-12-04,10127.75,10175.05,0.06,25.91,3.42,1.12
2017-12-01,10121.80,10263.70,-1.02,25.90,3.41,1.12
2017-11-30,10226.55,10332.70,-1.30,26.16,3.45,1.11
2017-11-29,10361.30,10376.65,-0.09,26.51,3.49,1.07
2017-11-28,10370.25,10387.90,-0.28,26.53,3.49,1.07
2017-11-27,10399.55,10361.05,0.09,26.61,3.50,1.07
2017-11-24,10389.70,10366.80,0.40,26.59,3.50,1.07
2017-11-23,10348.75,10358.45,0.06,26.48,3.49,1.08
2017-11-22,10342.30,10350.80,0.15,26.40,3.48,1.08
2017-11-21,10326.90,10329.25,0.27,26.20,3.48,1.08
2017-11-20,10298.75,10287.20,0.15,26.18,3.47,1.08
2017-11-17,10283.60,10324.55,0.67,26.14,3.46,1.08
2017-11-16,10214.75,10152.90,0.96,25.96,3.45,1.09
2017-11-15,10118.05,10171.95,-0.67,25.72,3.41,1.1
2017-11-14,10186.60,10223.40,-0.38,25.89,3.44,1.09
2017-11-13,10224.95,10322.00,-0.94,25.99,3.45,1.09
2017-11-10,10321.75,10304.35,0.12,26.35,3.48,1.08
2017-11-09,10308.95,10358.65,0.06,26.31,3.48,1.08
2017-11-08,10303.15,10361.95,-0.45,26.37,3.48,1.08
2017-11-07,10350.15,10477.15,-0.97,26.48,3.49,1.08
2017-11-06,10451.80,10431.75,-0.01,26.74,3.53,1.07
2017-11-03,10452.50,10461.55,0.28,26.87,3.53,1.07
2017-11-02,10423.80,10440.50,-0.16,26.63,3.52,1.07
2017-11-01,10440.50,10390.35,1.02,26.49,3.52,1.07
2017-10-31,10335.30,10364.90,-0.27,26.38,3.49,1.08
2017-10-30,10363.65,10353.85,0.39,26.77,3.50,1.1
2017-10-27,10323.05,10362.30,-0.20,26.67,3.49,1.11
2017-10-26,10343.80,10291.80,0.47,26.73,3.49,1.1
2017-10-25,10295.35,10321.15,0.86,26.63,3.48,1.11
2017-10-24,10207.70,10218.55,0.22,26.42,3.45,1.12
2017-10-23,10184.85,10176.65,0.38,26.37,3.44,1.12
2017-10-19,10146.55,10210.35,-0.63,26.28,3.43,1.12
2017-10-18,10210.85,10209.40,-0.23,26.44,3.45,1.12
2017-10-17,10234.45,10227.65,0.04,26.52,3.46,1.12
2017-10-16,10230.85,10207.40,0.62,26.55,3.46,1.12
2017-10-13,10167.45,10123.70,0.70,26.41,3.47,1.12
2017-10-12,10096.40,10011.20,1.12,26.22,3.45,1.13
2017-10-11,9984.80,10042.60,-0.32,25.94,3.41,1.14
2017-10-10,10016.95,10013.70,0.28,26.02,3.42,1.14
2017-10-09,9988.75,9988.20,0.09,25.95,3.41,1.14
2017-10-06,9979.70,9908.15,0.92,25.92,3.41,1.14
2017-10-05,9888.70,9927.00,-0.26,25.69,3.38,1.15
2017-10-04,9914.90,9884.35,0.56,25.75,3.39,1.15
2017-10-03,9859.50,9893.30,0.72,25.61,3.37,1.16
2017-09-29,9788.60,9814.30,0.20,25.43,3.35,1.17
2017-09-28,9768.95,9736.40,0.34,25.44,3.40,0.97
2017-09-27,9735.75,9920.60,-1.38,25.36,3.39,0.98
2017-09-26,9871.50,9875.25,-0.01,25.71,3.43,0.96
2017-09-25,9872.60,9960.10,-0.92,25.71,3.43,0.96
2017-09-22,9964.40,10094.35,-1.56,25.95,3.47,0.95
2017-09-21,10121.90,10139.60,-0.19,26.34,3.52,0.94
2017-09-20,10141.15,10160.95,-0.06,26.39,3.53,0.94
2017-09-19,10147.55,10175.60,-0.05,26.40,3.53,0.94
2017-09-18,10153.10,10133.10,0.67,26.42,3.53,0.94
2017-09-15,10085.40,10062.35,-0.01,26.24,3.51,0.94
2017-09-14,10086.60,10107.40,0.07,26.25,3.51,0.93
2017-09-13,10079.30,10099.25,-0.14,26.23,3.51,0.93
2017-09-12,10093.05,10056.85,0.87,26.26,3.51,0.93
2017-09-11,10006.05,9971.75,0.72,26.11,3.50,0.93
2017-09-08,9934.80,9958.65,0.05,25.90,3.47,0.94
2017-09-07,9929.90,9945.85,0.14,25.89,3.49,0.94
2017-09-06,9916.20,9899.25,-0.36,25.88,3.49,0.94
2017-09-05,9952.20,9933.25,0.40,25.97,3.50,0.94
2017-09-04,9912.85,9984.15,-0.62,25.83,3.48,0.94
2017-09-01,9974.40,9937.65,0.57,25.99,3.51,0.93
2017-08-31,9917.90,9905.70,0.34,25.62,3.49,0.94
2017-08-30,9884.40,9859.50,0.90,25.54,3.47,0.94
2017-08-29,9796.05,9886.40,-1.18,25.31,3.44,0.95
2017-08-28,9912.80,9907.15,0.57,25.61,3.48,0.94
2017-08-24,9857.05,9881.20,0.05,25.47,3.46,0.95
2017-08-23,9852.50,9803.05,0.89,25.45,3.47,0.96
2017-08-22,9765.55,9815.75,0.11,25.25,3.44,0.97
2017-08-21,9754.35,9864.25,-0.84,24.99,3.44,0.97
2017-08-18,9837.40,9865.95,-0.67,25.10,3.46,0.97
2017-08-17,9904.15,9945.55,0.07,25.30,3.50,0.97
2017-08-16,9897.30,9825.85,1.05,25.28,3.49,0.97
2017-08-14,9794.15,9755.75,0.86,25.02,3.46,0.98
2017-08-11,9710.80,9712.15,-1.11,24.80,3.43,0.99
2017-08-10,9820.25,9872.85,-0.89,25.06,3.47,0.98
2017-08-09,9908.05,9961.15,-0.71,25.31,3.51,0.97
2017-08-08,9978.55,10068.35,-0.78,25.50,3.53,0.97
2017-08-07,10057.40,10074.80,-0.09,25.67,3.56,0.96
2017-08-04,10066.40,10008.60,0.53,25.61,3.56,0.96
2017-08-03,10013.65,10081.15,-0.67,25.50,3.49,0.96
2017-08-02,10081.50,10136.30,-0.33,25.63,3.51,0.95
2017-08-01,10114.65,10101.05,0.37,25.75,3.52,0.95
2017-07-31,10077.10,10034.70,0.63,25.69,3.51,0.95
2017-07-28,10014.50,9996.55,-0.06,25.56,3.49,0.96
2017-07-27,10020.55,10063.25,0.00,25.56,3.57,1
2017-07-26,10020.65,9983.65,0.56,25.57,3.57,1
2017-07-25,9964.55,10010.55,-0.02,25.45,3.55,1
2017-07-24,9966.40,9936.80,0.52,25.45,3.55,1
2017-07-21,9915.25,9899.60,0.42,25.32,3.53,1.01
2017-07-20,9873.30,9920.20,-0.27,25.22,3.52,1.01
2017-07-19,9899.60,9855.95,0.74,25.28,3.53,1.01
2017-07-18,9827.15,9832.70,-0.90,25.10,3.56,1.06
2017-07-17,9915.95,9908.15,0.30,25.17,3.67,1.08
2017-07-14,9886.35,9913.30,-0.05,25.12,3.66,1.08
2017-07-13,9891.70,9855.80,0.77,25.17,3.66,1.08
2017-07-12,9816.10,9807.30,0.31,24.98,3.63,1.09
2017-07-11,9786.05,9797.45,0.15,24.91,3.62,1.09
2017-07-10,9771.05,9719.30,1.09,24.87,3.62,1.09
2017-07-07,9665.80,9670.35,-0.09,24.60,3.58,1.1
2017-07-06,9674.55,9653.60,0.38,24.62,3.58,1.1
2017-07-05,9637.60,9619.75,0.25,24.53,3.57,1.11
2017-07-04,9613.30,9645.90,-0.02,24.47,3.56,1.11
2017-07-03,9615.00,9587.95,0.99,24.47,3.56,1.11
2017-06-30,9520.90,9478.50,0.18,24.23,3.52,1.12
2017-06-29,9504.10,9522.95,0.14,24.19,3.52,1.12
2017-06-28,9491.25,9520.20,-0.21,24.15,3.51,1.12
2017-06-27,9511.40,9594.05,-0.66,24.21,3.52,1.12
2017-06-23,9574.95,9643.25,-0.57,24.37,3.54,1.11
2017-06-22,9630.00,9642.65,-0.04,24.49,3.57,1.11
2017-06-21,9633.60,9648.10,-0.21,24.31,3.57,1.11
2017-06-20,9653.50,9670.50,-0.04,24.36,3.58,1.1
2017-06-19,9657.55,9626.40,0.72,24.37,3.58,1.1
2017-06-16,9588.05,9595.45,0.10,24.00,3.56,1.11
